Order_ID,Order_Date,Ship_Date,Ship_Mode,Customer_ID,Customer_Name,Segment,Country,City,State,Region,Product_ID,Sub_Category,Category,Product_Name,MRP_per_unit,CostPrice_per_unit,Quantity,Discount
CA-2015-117415,2015-12-27,2015-12-31,Standard Class,SN-20710,Steve Nguyen,Home Office,United States,Houston,Texas,Central,OFF-EN-10002986,Envelopes,Office Supplies,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",113.328,77.913,9,0.2
CA-2017-120999,2017-09-10,2017-09-15,Standard Class,LC-16930,Linda Cazamias,Corporate,United States,Naperville,Illinois,Central,TEC-PH-10004093,Phones,Technology,Panasonic Kx-TS550,147.168,130.6116,4,0.2
CA-2016-101343,2016-07-17,2016-07-22,Standard Class,RA-19885,Ruben Ausman,Corporate,United States,Los Angeles,California,West,OFF-ST-10003479,Storage,Office Supplies,Eldon Base for stackable storage shelf platinum,77.88,73.986,2,0
CA-2017-139619,2017-09-19,2017-09-23,Standard Class,ES-14080,Erin Smith,Corporate,United States,Melbourne,Florida,South,OFF-ST-10003282,Storage,Office Supplies,Advantus 10-Drawer Portable Organizer Chrome Metal Frame Smoke Drawers,95.616,86.0544,2,0.2
CA-2016-118255,2016-03-11,2016-03-13,First Class,ON-18715,Odella Nelson,Corporate,United States,Eagan,Minnesota,Central,TEC-AC-10000171,Accessories,Technology,Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc 25/Pack,45.98,26.2086,2,0
CA-2014-146703,2014-10-20,2014-10-25,Second Class,PO-18865,Patrick O'Donnell,Consumer,United States,Westland,Michigan,Central,OFF-ST-10001713,Storage,Office Supplies,Gould Plastics 9-Pocket Panel Bin 18-3/8w x 5-1/4d x 20-1/2h Black,211.96,203.4816,4,0
CA-2016-169194,2016-06-20,2016-06-25,Standard Class,LH-16900,Lena Hernandez,Consumer,United States,Dover,Delaware,East,TEC-AC-10002167,Accessories,Technology,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,45,40.05,3,0
CA-2015-115742,2015-04-18,2015-04-22,Standard Class,DP-13000,Darren Powers,Consumer,United States,New Albany,Indiana,Central,OFF-BI-10004410,Binders,Office Supplies,C-Line Peel & Stick Add-On Filing Pockets 8-3/4 x 5-1/8 10/Pack,38.22,20.2566,6,0
CA-2016-105816,2016-12-11,2016-12-17,Standard Class,JM-15265,Janet Molinari,Corporate,United States,New York City,New York,East,OFF-FA-10000304,Fasteners,Office Supplies,Advantus Push Pins,15.26,9.0034,7,0
CA-2016-111682,2016-06-17,2016-06-18,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,East,OFF-ST-10000604,Storage,Office Supplies,Home/Office Personal File Carts,208.56,156.42,6,0
CA-2015-135545,2015-11-24,2015-11-30,Standard Class,KM-16720,Kunst Miller,Consumer,United States,Los Angeles,California,West,TEC-AC-10004633,Accessories,Technology,Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc 3/Pack,13.98,7.8288,2,0
US-2015-164175,2015-04-30,2015-05-05,Standard Class,PS-18970,Paul Stevenson,Home Office,United States,Chicago,Illinois,Central,FUR-CH-10001146,Chairs,Furniture,Global Value Mid-Back Manager's Chair Gray,213.115,228.3375,5,0.3
CA-2014-106376,2014-12-05,2014-12-10,Standard Class,BS-11590,Brendan Sweed,Corporate,United States,Gilbert,Arizona,West,OFF-AR-10002671,Art,Office Supplies,Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener Beige,1113.024,1001.7216,8,0.2
CA-2016-119823,2016-06-04,2016-06-06,First Class,KD-16270,Karen Daniels,Consumer,United States,Springfield,Virginia,South,OFF-PA-10000482,Paper,Office Supplies,Snap-A-Way Black Print Carbonless Ruled Speed Letter Triplicate,75.88,40.2164,2,0
CA-2016-106075,2016-09-18,2016-09-23,Standard Class,HM-14980,Henry MacAllister,Consumer,United States,New York City,New York,East,OFF-BI-10004654,Binders,Office Supplies,Avery Binding System Hidden Tab Executive Style Index Sets,4.616,2.885,1,0.2
CA-2017-114440,2017-09-14,2017-09-17,Second Class,TB-21520,Tracy Blumstein,Consumer,United States,Jackson,Michigan,Central,OFF-PA-10004675,Paper,Office Supplies,"Telephone Message Books with Fax/Mobile Section 5 1/2"" x 3 3/16""",19.05,10.287,3,0
US-2015-134026,2015-04-26,2015-05-02,Standard Class,JE-15745,Joel Eaton,Consumer,United States,Memphis,Tennessee,South,FUR-CH-10000513,Chairs,Furniture,High-Back Leather Manager's Chair,831.936,946.3272,8,0.2
US-2017-118038,2017-12-09,2017-12-11,First Class,KB-16600,Ken Brennan,Corporate,United States,Houston,Texas,Central,OFF-BI-10004182,Binders,Office Supplies,Economy Binders,1.248,3.1824,3,0.8
US-2014-147606,2014-11-26,2014-12-01,Second Class,JE-15745,Joel Eaton,Consumer,United States,Houston,Texas,Central,FUR-FU-10003194,Furnishings,Furniture,Eldon Expressions Desk Accessory Wood Pencil Holder Oak,19.3,33.775,5,0.6
CA-2016-127208,2016-06-12,2016-06-15,First Class,SC-20770,Stewart Carmichael,Corporate,United States,Decatur,Alabama,South,OFF-AP-10002118,Appliances,Office Supplies,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",208.16,151.9568,1,0
CA-2014-139451,2014-10-12,2014-10-16,Standard Class,DN-13690,Duane Noonan,Consumer,United States,San Francisco,California,West,OFF-AR-10002053,Art,Office Supplies,Premium Writing Pencils Soft #2 by Central Association for the Blind,14.9,10.728,5,0
CA-2015-149734,2015-09-03,2015-09-08,Standard Class,JC-16105,Julie Creighton,Corporate,United States,Durham,North Carolina,South,OFF-EN-10000927,Envelopes,Office Supplies,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,200.984,138.1765,7,0.2
US-2017-119662,2017-11-13,2017-11-16,First Class,CS-12400,Christopher Schild,Home Office,United States,Chicago,Illinois,Central,OFF-ST-10003656,Storage,Office Supplies,Safco Industrial Wire Shelving,230.376,279.3309,3,0.2
CA-2017-140088,2017-05-28,2017-05-30,Second Class,PO-18865,Patrick O'Donnell,Consumer,United States,Columbia,South Carolina,South,FUR-CH-10000863,Chairs,Furniture,Novimex Swivel Fabric Task Chair,301.96,268.7444,2,0
CA-2017-155558,2017-10-26,2017-11-02,Standard Class,PG-18895,Paul Gonzalez,Consumer,United States,Rochester,Minnesota,Central,TEC-AC-10001998,Accessories,Technology,Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired,19.99,13.1934,1,0
CA-2016-159695,2016-04-05,2016-04-10,Second Class,GM-14455,Gary Mitchum,Home Office,United States,Houston,Texas,Central,OFF-ST-10003442,Storage,Office Supplies,Eldon Portable Mobile Manager,158.368,144.5108,7,0.2
CA-2016-109806,2016-09-17,2016-09-22,Standard Class,JS-15685,Jim Sink,Corporate,United States,Los Angeles,California,West,OFF-AR-10004930,Art,Office Supplies,Turquoise Lead Holder with Pocket Clip,20.1,13.467,3,0
CA-2015-149587,2015-01-31,2015-02-05,Second Class,KB-16315,Karl Braun,Consumer,United States,Minneapolis,Minnesota,Central,OFF-PA-10003177,Paper,Office Supplies,Xerox 1999,12.96,6.7392,2,0
US-2017-109484,2017-11-06,2017-11-12,Standard Class,RB-19705,Roger Barcio,Home Office,United States,Portland,Oregon,West,OFF-BI-10004738,Binders,Office Supplies,Flexible Leather- Look Classic Collection Ring Binder,5.682,9.47,1,0.7
CA-2017-161018,2017-11-09,2017-11-11,Second Class,PN-18775,Parhena Norris,Home Office,United States,New York City,New York,East,FUR-FU-10000629,Furnishings,Furniture,9-3/4 Diameter Round Wall Clock,96.53,55.9874,7,0
CA-2017-157833,2017-06-17,2017-06-20,First Class,KD-16345,Katherine Ducich,Consumer,United States,San Francisco,California,West,OFF-BI-10001721,Binders,Office Supplies,Trimflex Flexible Post Binders,51.312,33.3528,3,0.2
CA-2016-149223,2016-09-06,2016-09-11,Standard Class,ER-13855,Elpida Rittenbach,Corporate,United States,Saint Paul,Minnesota,Central,OFF-AP-10000358,Appliances,Office Supplies,Fellowes Basic Home/Office Series Surge Protectors,77.88,55.2948,6,0
CA-2016-158568,2016-08-29,2016-09-02,Standard Class,RB-19465,Rick Bensley,Home Office,United States,Chicago,Illinois,Central,OFF-PA-10003256,Paper,Office Supplies,Avery Personal Creations Heavyweight Cards,64.624,42.0056,7,0.2
CA-2016-129903,2016-12-01,2016-12-04,Second Class,GZ-14470,Gary Zandusky,Consumer,United States,Rochester,Minnesota,Central,OFF-PA-10004040,Paper,Office Supplies,Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright),23.92,12.1992,4,0
US-2015-156867,2015-11-13,2015-11-17,Standard Class,LC-16870,Lena Cacioppo,Consumer,United States,Aurora,Colorado,West,TEC-AC-10001552,Accessories,Technology,Logitech K350 2.4Ghz Wireless Keyboard,238.896,265.7718,6,0.2
CA-2017-119004,2017-11-23,2017-11-28,Standard Class,JM-15250,Janet Martin,Consumer,United States,Charlotte,North Carolina,South,TEC-AC-10003499,Accessories,Technology,Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive,74.112,56.5104,8,0.2
CA-2015-129476,2015-10-15,2015-10-20,Standard Class,PA-19060,Pete Armstrong,Home Office,United States,Orland Park,Illinois,Central,TEC-AC-10000844,Accessories,Technology,Logitech Gaming G510s - Keyboard,339.96,271.968,5,0.2
CA-2017-146780,2017-12-25,2017-12-30,Standard Class,CV-12805,Cynthia Voltz,Corporate,United States,New York City,New York,East,FUR-FU-10001934,Furnishings,Furniture,Magnifier Swing Arm Lamp,41.96,31.0504,2,0
CA-2016-128867,2016-11-03,2016-11-10,Standard Class,CL-12565,Clay Ludtke,Consumer,United States,Urbandale,Iowa,Central,OFF-AR-10000380,Art,Office Supplies,Hunt PowerHouse Electric Pencil Sharpener Blue,75.96,53.172,2,0
CA-2014-115259,2014-08-25,2014-08-27,Second Class,RC-19960,Ryan Crowe,Consumer,United States,Columbus,Ohio,East,OFF-FA-10000621,Fasteners,Office Supplies,OIC Colored Binder Clips Assorted Sizes,40.096,25.5612,14,0.2
CA-2015-110457,2015-03-02,2015-03-06,Standard Class,DK-13090,Dave Kipp,Consumer,United States,Seattle,Washington,West,FUR-TA-10001768,Tables,Furniture,Hon Racetrack Conference Tables,787.53,622.1487,3,0
US-2015-136476,2015-04-05,2015-04-10,Standard Class,GG-14650,Greg Guthrie,Corporate,United States,Bristol,Tennessee,South,OFF-BI-10003650,Binders,Office Supplies,GBC DocuBind 300 Electric Binding Machine,157.794,273.5096,1,0.7
CA-2016-103730,2016-06-12,2016-06-15,First Class,SC-20725,Steven Cartwright,Consumer,United States,Wilmington,Delaware,East,FUR-FU-10002157,Furnishings,Furniture,Artistic Insta-Plaque,47.04,28.6944,3,0
US-2014-152030,2014-12-26,2014-12-28,Second Class,AD-10180,Alan Dominguez,Home Office,United States,Houston,Texas,Central,FUR-CH-10004063,Chairs,Furniture,Global Deluxe High-Back Manager's Chair,600.558,609.1374,3,0.3
US-2014-134614,2014-09-20,2014-09-25,Standard Class,PF-19165,Philip Fox,Consumer,United States,Bloomington,Illinois,Central,FUR-TA-10004534,Tables,Furniture,Bevis 44 x 96 Conference Tables,617.7,1025.382,6,0.5
US-2017-107272,2017-11-05,2017-11-12,Standard Class,TS-21610,Troy Staebel,Consumer,United States,Phoenix,Arizona,West,OFF-BI-10003274,Binders,Office Supplies,Avery Durable Slant Ring Binders No Labels,2.388,4.2188,2,0.7
US-2016-125969,2016-11-06,2016-11-10,Second Class,LS-16975,Lindsay Shagiari,Home Office,United States,Los Angeles,California,West,FUR-CH-10001146,Chairs,Furniture,Global Task Chair Black,81.424,90.5842,2,0.2
US-2017-164147,2017-02-02,2017-02-05,First Class,DW-13585,Dorothy Wardle,Corporate,United States,Columbus,Ohio,East,TEC-PH-10002293,Phones,Technology,Anker 36W 4-Port USB Wall Charger Travel Power Adapter for iPhone 5s 5c 5,59.97,71.964,5,0.4
CA-2016-145583,2016-10-13,2016-10-19,Standard Class,LC-16885,Lena Creighton,Consumer,United States,Roseville,California,West,OFF-PA-10001804,Paper,Office Supplies,Xerox 195,20.04,10.4208,3,0
CA-2016-110366,2016-09-05,2016-09-07,Second Class,JD-15895,Jonathan Doherty,Corporate,United States,Philadelphia,Pennsylvania,East,FUR-FU-10004848,Furnishings,Furniture,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",82.8,72.45,2,0.2
CA-2017-106180,2017-09-18,2017-09-23,Standard Class,SH-19975,Sally Hughsby,Corporate,United States,San Francisco,California,West,OFF-AR-10000940,Art,Office Supplies,Newell 343,8.82,6.4386,3,0
CA-2017-155376,2017-12-22,2017-12-27,Standard Class,SG-20080,Sandra Glassco,Consumer,United States,Independence,Missouri,Central,OFF-AP-10001058,Appliances,Office Supplies,Sanyo 2.5 Cubic Foot Mid-Size Office Refrigerators,839.43,621.1782,3,0
CA-2015-110744,2015-09-07,2015-09-12,Standard Class,HA-14920,Helen Andreada,Consumer,United States,Pasadena,California,West,OFF-ST-10003656,Storage,Office Supplies,Safco Industrial Wire Shelving,671.93,651.7721,7,0
CA-2014-110072,2014-10-22,2014-10-28,Standard Class,MG-17680,Maureen Gastineau,Home Office,United States,Newark,Ohio,East,FUR-FU-10000521,Furnishings,Furniture,"Seth Thomas 14"" Putty-Colored Wall Clock",93.888,80.9784,4,0.2
CA-2016-114489,2016-12-05,2016-12-09,Standard Class,JE-16165,Justin Ellison,Corporate,United States,Franklin,Wisconsin,Central,TEC-PH-10000215,Phones,Technology,Plantronics Cordless Phone Headset with In-line Volume - M214C,384.45,280.6485,11,0
CA-2016-158834,2016-03-13,2016-03-16,First Class,TW-21025,Tamara Willingham,Home Office,United States,Scottsdale,Arizona,West,OFF-AP-10000326,Appliances,Office Supplies,Belkin 7 Outlet SurgeMaster Surge Protector with Phone Protection,157.92,140.154,5,0.2
CA-2015-124919,2015-05-31,2015-06-02,First Class,SP-20650,Stephanie Phelps,Corporate,United States,San Jose,California,West,OFF-PA-10001950,Paper,Office Supplies,Southworth 25% Cotton Antique Laid Paper & Envelopes,58.38,32.109,7,0
CA-2015-118948,2015-05-28,2015-06-03,Standard Class,NK-18490,Neil Knudson,Home Office,United States,Seattle,Washington,West,OFF-AR-10001547,Art,Office Supplies,Newell 311,6.63,4.8399,3,0
CA-2014-104269,2014-03-01,2014-03-06,Second Class,DB-13060,Dave Brooks,Consumer,United States,Seattle,Washington,West,FUR-CH-10004063,Chairs,Furniture,Global Deluxe High-Back Manager's Chair,457.568,406.0916,2,0.2
CA-2016-114104,2016-11-20,2016-11-24,Standard Class,NP-18670,Nora Paige,Consumer,United States,Edmond,Oklahoma,Central,OFF-LA-10002475,Labels,Office Supplies,Avery 519,14.62,7.7486,2,0
CA-2016-162733,2016-05-11,2016-05-12,First Class,TT-21070,Ted Trevino,Consumer,United States,Los Angeles,California,West,OFF-PA-10002751,Paper,Office Supplies,Xerox 1920,5.98,3.289,1,0
CA-2015-119697,2015-12-28,2015-12-31,Second Class,EM-13960,Eric Murdock,Consumer,United States,Philadelphia,Pennsylvania,East,TEC-AC-10003657,Accessories,Technology,Lenovo 17-Key USB Numeric Keypad,54.384,53.0244,2,0.2
CA-2016-154508,2016-11-16,2016-11-20,Standard Class,RD-19900,Ruben Dartt,Consumer,United States,Carlsbad,New Mexico,West,OFF-EN-10001990,Envelopes,Office Supplies,Staple envelope,28.4,15.052,5,0
CA-2016-113817,2016-11-07,2016-11-11,Standard Class,MJ-17740,Max Jones,Consumer,United States,Seattle,Washington,West,OFF-BI-10004002,Binders,Office Supplies,Wilson Jones International Size A4 Ring Binders,27.68,17.992,2,0.2
CA-2014-139892,2014-09-08,2014-09-12,Standard Class,BM-11140,Becky Martin,Consumer,United States,San Antonio,Texas,Central,OFF-AR-10004441,Art,Office Supplies,BIC Brite Liner Highlighters,9.936,7.2036,3,0.2
CA-2014-118962,2014-08-05,2014-08-09,Standard Class,CS-12130,Chad Sievert,Consumer,United States,Los Angeles,California,West,OFF-PA-10000659,Paper,Office Supplies,Adams Phone Message Book Professional 400 Message Capacity 5 3/6” x 11”,20.94,11.0982,3,0
US-2014-100853,2014-09-14,2014-09-19,Standard Class,JB-15400,Jennifer Braxton,Corporate,United States,Chicago,Illinois,Central,OFF-AP-10000891,Appliances,Office Supplies,Kensington 7 Outlet MasterPiece HOMEOFFICE Power Control Center,52.448,183.568,2,0.8
US-2017-152366,2017-04-21,2017-04-25,Second Class,SJ-20500,Shirley Jackson,Consumer,United States,Houston,Texas,Central,OFF-AP-10002684,Appliances,Office Supplies,Acco 7-Outlet Masterpiece Power Center Wihtout Fax/Phone Line Protection,97.264,340.424,4,0.8
US-2015-101511,2015-11-21,2015-11-23,Second Class,JE-15745,Joel Eaton,Consumer,United States,Newark,Ohio,East,FUR-CH-10004698,Chairs,Furniture,Padded Folding Chairs Black 4/Carton,396.802,408.1392,7,0.3
CA-2015-137225,2015-12-15,2015-12-19,Standard Class,JK-15640,Jim Kriz,Home Office,United States,New York City,New York,East,OFF-AR-10001940,Art,Office Supplies,Sanford Colorific Eraseable Coloring Pencils 12 Count,3.28,1.8696,1,0
CA-2014-166191,2014-12-05,2014-12-09,Second Class,DK-13150,David Kendrick,Corporate,United States,Decatur,Illinois,Central,OFF-ST-10003455,Storage,Office Supplies,Tenex File Box Personal Filing Tote with Lid Black,24.816,22.9548,2,0.2
CA-2014-158274,2014-11-19,2014-11-24,Second Class,RM-19675,Robert Marley,Home Office,United States,Monroe,Louisiana,South,TEC-PH-10003273,Phones,Technology,AT&T TR1909W,503.96,372.9304,4,0
CA-2016-105018,2016-11-28,2016-12-02,Standard Class,SK-19990,Sally Knutson,Consumer,United States,Fairfield,Connecticut,East,OFF-BI-10001890,Binders,Office Supplies,Avery Poly Binder Pockets,7.16,3.7232,2,0
CA-2014-123260,2014-08-26,2014-08-30,Standard Class,FM-14290,Frank Merwin,Home Office,United States,Los Angeles,California,West,TEC-AC-10002323,Accessories,Technology,SanDisk Ultra 32 GB MicroSDHC Class 10 Memory Card,176.8,153.816,8,0
CA-2016-157000,2016-07-16,2016-07-22,Standard Class,AM-10360,Alice McCarthy,Corporate,United States,Grand Prairie,Texas,Central,OFF-ST-10001328,Storage,Office Supplies,Personal Filing Tote with Lid Black/Gray,37.224,33.5016,3,0.2
CA-2015-102281,2015-10-12,2015-10-14,First Class,MP-17470,Mark Packer,Home Office,United States,New York City,New York,East,FUR-BO-10002613,Bookcases,Furniture,Atlantic Metals Mobile 4-Shelf Bookcases Custom Colors,899.136,786.744,4,0.2
CA-2015-131457,2015-10-31,2015-11-06,Standard Class,MZ-17515,Mary Zewe,Corporate,United States,Redlands,California,West,OFF-EN-10001509,Envelopes,Office Supplies,Poly String Tie Envelopes,14.28,7.5684,7,0
CA-2014-140004,2014-03-21,2014-03-25,Standard Class,CB-12025,Cassandra Brandow,Consumer,United States,Hamilton,Ohio,East,OFF-AR-10004685,Art,Office Supplies,Binney & Smith Crayola Metallic Colored Pencils 8-Color Set,7.408,6.2042,2,0.2
CA-2017-107720,2017-11-06,2017-11-13,Standard Class,VM-21685,Valerie Mitchum,Home Office,United States,Westfield,New Jersey,East,OFF-ST-10001414,Storage,Office Supplies,Decoflex Hanging Personal Folder File,46.26,34.2324,3,0
US-2017-124303,2017-07-06,2017-07-13,Standard Class,FH-14365,Fred Hopkins,Corporate,United States,Philadelphia,Pennsylvania,East,OFF-BI-10000343,Binders,Office Supplies,"Pressboard Covers with Storage Hooks 9 1/2"" x 11"" Light Blue",2.946,5.2046,2,0.7
CA-2017-105074,2017-06-24,2017-06-29,Standard Class,MB-17305,Maria Bertelson,Consumer,United States,Akron,Ohio,East,OFF-PA-10002666,Paper,Office Supplies,Southworth 25% Cotton Linen-Finish Paper & Envelopes,21.744,14.949,3,0.2
CA-2014-133690,2014-08-03,2014-08-05,First Class,BS-11755,Bruce Stewart,Consumer,United States,Denver,Colorado,West,FUR-TA-10004289,Tables,Furniture,BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables,218.75,380.625,2,0.5
US-2017-116701,2017-12-17,2017-12-21,Second Class,LC-17140,Logan Currie,Consumer,United States,Dallas,Texas,Central,OFF-AP-10003217,Appliances,Office Supplies,Eureka Sanitaire  Commercial Upright,66.284,245.2508,2,0.8
CA-2017-126382,2017-06-03,2017-06-07,Standard Class,HK-14890,Heather Kirkland,Corporate,United States,Franklin,Tennessee,South,FUR-FU-10002960,Furnishings,Furniture,Eldon 200 Class Desk Accessories Burgundy,35.168,25.4968,7,0.2
CA-2017-108329,2017-12-09,2017-12-14,Standard Class,LE-16810,Laurel Elliston,Consumer,United States,Whittier,California,West,TEC-PH-10001918,Phones,Technology,Nortel Business Series Terminal T7208 Digital phone,444.768,400.2912,4,0.2
CA-2017-135860,2017-12-01,2017-12-07,Standard Class,JH-15985,Joseph Holt,Consumer,United States,Saginaw,Michigan,Central,OFF-ST-10000642,Storage,Office Supplies,Tennsco Lockers Gray,83.92,78.0456,4,0
CA-2015-101007,2015-02-09,2015-02-13,Second Class,MS-17980,Michael Stewart,Corporate,United States,Dallas,Texas,Central,TEC-AC-10001266,Accessories,Technology,Memorex Micro Travel Drive 8 GB,20.8,14.3,2,0.2
CA-2015-146262,2015-01-02,2015-01-09,Standard Class,VW-21775,Victoria Wilson,Corporate,United States,Medina,Ohio,East,OFF-LA-10004544,Labels,Office Supplies,Avery 505,23.68,14.8,2,0.2
CA-2016-130162,2016-10-28,2016-11-01,Standard Class,JH-15910,Jonathan Howell,Consumer,United States,Los Angeles,California,West,OFF-ST-10001328,Storage,Office Supplies,Personal Filing Tote with Lid Black/Gray,93.06,67.0032,6,0
CA-2015-169397,2015-12-24,2015-12-27,First Class,JB-15925,Joni Blumstein,Consumer,United States,Dublin,Ohio,East,OFF-FA-10000585,Fasteners,Office Supplies,OIC Bulk Pack Metal Binder Clips,5.584,3.7692,2,0.2
CA-2015-163055,2015-08-09,2015-08-16,Standard Class,DS-13180,David Smith,Corporate,United States,Detroit,Michigan,Central,OFF-AR-10001026,Art,Office Supplies,Sanford Uni-Blazer View Highlighters Chisel Tip Yellow,2.2,1.232,1,0
US-2015-145436,2015-02-28,2015-03-04,Standard Class,VD-21670,Valerie Dominguez,Consumer,United States,Columbia,Tennessee,South,FUR-CH-10004860,Chairs,Furniture,Global Low Back Tilter Chair,161.568,189.8424,2,0.2
US-2014-156216,2014-09-13,2014-09-17,Standard Class,EA-14035,Erin Ashbrook,Corporate,United States,Charlotte,North Carolina,South,OFF-BI-10001679,Binders,Office Supplies,GBC Instant Index System for Binding Systems,18.648,31.08,7,0.7
US-2017-100930,2017-04-07,2017-04-12,Standard Class,CS-12400,Christopher Schild,Home Office,United States,Tampa,Florida,South,FUR-TA-10001705,Tables,Furniture,Bush Advantage Collection Round Conference Table,233.86,335.908,2,0.45
CA-2017-160514,2017-11-12,2017-11-16,Standard Class,DB-13120,David Bremer,Corporate,United States,Santa Clara,California,West,OFF-PA-10002479,Paper,Office Supplies,Xerox 4200 Series MultiUse Premium Copy Paper (20Lb. and 84 Bright),10.56,5.808,2,0
CA-2016-157749,2016-06-04,2016-06-09,Second Class,KL-16645,Ken Lonsdale,Consumer,United States,Chicago,Illinois,Central,OFF-PA-10003349,Paper,Office Supplies,Xerox 1957,25.92,16.524,5,0.2
CA-2014-131926,2014-06-01,2014-06-06,Second Class,DW-13480,Dianna Wilson,Home Office,United States,Lakeville,Minnesota,Central,FUR-CH-10004063,Chairs,Furniture,Global Deluxe High-Back Manager's Chair,2001.86,1421.3206,7,0
